season,date,opponent,corners,shots_on_goal,saves,result
2015,8/28/2015,vs DUKE,4,3,2,0
2015,8/30/2015,vs BRYFH,3,7,0,1
2015,9/4/2015,vs LOU,3,1,1,0
2015,9/5/2015,vs Saint Louis,11,11,4,1
2015,9/7/2015,vs Indiana,5,7,5,1
2015,9/11/2015,at Penn State,1,7,4,1
2015,9/13/2015,vs Bucknell,2,2,1,0
2015,9/18/2015,at Stanford,10,9,7,1
2015,9/25/2015,at Brown,9,11,9,1
2015,9/27/2015,at UConn,1,1,1,0
2015,10/4/2015,vs UC Davis,6,3,2,1
2015,10/10/2015,vs UML,13,14,12,1
2015,10/11/2015,at PACIFIC,3,3,2,1
2015,10/18/2015,vs Stanford,1,3,3,0
2015,10/24/2015,vs California,5,12,7,1
2015,10/25/2015,at Ohio State,10,11,8,0
2015,10/28/2015,vs PACIFIC,7,6,5,0
2015,10/30/2015,at UC Davis,8,7,4,0
2015,11/6/2015,vs California,18,13,11,1
2016,8/28/2016,vs NU,0,6,4,0
2016,9/2/2016,vs Kent St.,6,2,2,0
2016,9/4/2016,vs Michigan,0,0,0,0
2016,9/10/2016,at Maryland,1,3,2,0
2016,9/11/2016,vs Fairfield,3,7,4,1
2016,9/14/2016,vs Drexel,4,4,3,0
2016,9/23/2016,at Appalachian State,10,14,12,1
2016,9/25/2016,at Wake Forest,2,9,7,0
2016,10/2/2016,vs UC Davis,9,8,3,1
2016,10/7/2016,vs Stanford,3,3,1,0
2016,10/15/2016,at VERMONT,8,11,9,0
2016,10/16/2016,at MAINE,5,5,2,1
2016,10/21/2016,at Pacific Tigers,2,5,4,0
2016,10/23/2016,at Stanford,3,4,4,0
2016,10/28/2016,at UC Davis,8,6,6,0
2016,10/30/2016,vs Pacific Tigers,5,3,3,0
2016,11/4/2016,at MAINE,8,9,6,1
2016,11/5/2016,at Stanford,2,4,4,0
2017,8/25/2017,vs Syracuse,1,0,0,0
2017,8/28/2017,vs Michigan St.,12,13,9,0
2017,9/1/2017,vs UMASS,8,7,5,1
2017,9/3/2017,vs Iowa,5,7,7,0
2017,9/8/2017,at Bryant,10,15,7,1
2017,9/10/2017,at Northeastern,4,10,8,1
2017,9/16/2017,vs Pacific,4,9,5,1
2017,9/23/2017,at Fairfield,3,8,5,1
2017,9/24/2017,at Quinnipiac,0,8,5,1
2017,9/29/2017,at UC Davis,7,14,11,1
2017,10/7/2017,at Penn State,5,6,5,0
2017,10/8/2017,at Ohio State,6,10,8,0
2017,10/13/2017,at Pacific,5,9,7,0
2017,10/15/2017,vs Stanford,1,8,4,1
2017,10/20/2017,vs UC Davis,13,15,12,1
2017,10/22/2017,at Stanford,2,2,2,0
2017,11/3/2017,vs New Hampshire,4,5,3,0
2018,8/24/2018,vs Providence,3,9,4,1
2018,8/26/2018,vs Maryland,0,2,2,0
2018,9/2/2018,vs MIAMI,4,3,2,1
2018,9/8/2018,vs North Carolina,6,3,3,0
2018,9/9/2018,at LOU,4,3,2,0
2018,9/16/2018,vs YALE,6,9,6,1
2018,9/22/2018,at IOWA,3,5,4,0
2018,9/23/2018,at Northwestern,5,4,4,0
2018,9/30/2018,at Pacific,3,4,3,0
2018,10/6/2018,vs Boston College,2,5,2,0
2018,10/7/2018,at Syracuse,4,6,4,0
2018,10/12/2018,vs STAN,4,6,4,0
2018,10/14/2018,at UC Davis,14,10,7,1
2018,10/19/2018,vs UC Davis,5,6,5,1
2018,10/21/2018,at STAN,5,13,11,0
2018,10/28/2018,vs Pacific,6,5,4,0
2018,11/2/2018,at Maine,11,11,7,0
2019,8/30/2019,vs Quinnipiac,10,22,17,1
2019,9/2/2019,at Northwestern,0,3,3,0
2019,9/8/2019,vs Michigan,2,3,2,0
2019,9/13/2019,at Iowa,2,4,2,0
2019,9/14/2019,vs Duke,2,2,1,0
2019,9/20/2019,at Stanford,2,7,6,0
2019,9/26/2019,at Penn State,5,9,5,1
2019,9/27/2019,at Delaware,3,4,3,0
2019,9/29/2019,at Drexel,5,5,3,1
2019,10/4/2019,vs SYRACUSE,7,7,4,0
2019,10/6/2019,vs Central Michigan,10,18,10,1
2019,10/10/2019,at Brown,2,7,5,0
2019,10/11/2019,at Sacred Heart,10,16,8,1
2019,10/13/2019,vs Cornell Big Red,11,18,15,1
2019,10/18/2019,vs UC DAVIS,5,8,5,1
2019,10/22/2019,vs Stanford,3,5,3,0
2019,10/26/2019,at UC Davis,8,10,9,0
2019,11/7/2019,at New Hampshire,2,9,7,1
2019,11/8/2019,at Monmouth,4,7,4,0
2020,3/7/2021,at UC Davis,5,4,3,0
2020,3/12/2021,vs UC Davis,2,6,4,1
2020,3/20/2021,at Maine,6,1,1,0
2020,3/21/2021,at UMass Lowell,6,5,5,0
2020,3/24/2021,at Monmouth,4,0,0,0
2020,4/3/2021,vs UC Davis,7,11,8,1
2020,4/6/2021,vs Stanford,0,1,0,0
2020,4/11/2021,at Stanford,4,5,5,0
2020,4/15/2021,at UAlbany,5,4,1,1
2020,4/17/2021,at UNH,5,12,7,1
2020,4/18/2021,at Vermont,4,4,3,1
2021,8/27/2021,at Stanford,0,2,1,1
2021,8/29/2021,vs LIBERTY,4,2,2,0
2021,9/5/2021,vs Dartmouth,8,11,10,1
2021,9/10/2021,at Towson,8,18,14,1
2021,9/12/2021,at Maryland,1,2,2,0
2021,9/17/2021,vs Brown,3,6,4,1
2021,9/19/2021,vs Northwestern,2,3,2,0
2021,9/24/2021,at New Hampshire,0,6,3,1
2021,9/26/2021,at UMass Lowell,6,11,10,1
2021,10/8/2021,at Maine,2,3,2,0
2021,10/10/2021,at Vermont,4,10,8,1
2021,10/17/2021,at UC Davis,5,11,9,1
2021,10/22/2021,vs Stanford,1,3,1,1
2021,10/29/2021,at Monmouth,3,6,4,0
2021,10/31/2021,at UALBANYF,6,11,10,0
2021,11/3/2021,vs New Hampshire,3,12,10,1
2021,11/5/2021,at Maine,1,4,3,0
2022,8/26/2022,at Miami,7,5,4,0
2022,8/28/2022,at Ohio,7,7,6,0
2022,9/2/2022,vs BELL,9,7,3,1
2022,9/4/2022,vs IND,10,7,5,0
2022,9/9/2022,vs North Carolina,2,1,1,0
2022,9/11/2022,vs Wake Forest,5,1,0,0
2022,9/23/2022,at UAlbany,4,2,1,0
2022,9/25/2022,at Bryant,6,16,11,1
2022,9/30/2022,vs UCD,5,5,3,1
2022,10/7/2022,at Maine,9,11,8,0
2022,10/9/2022,at New Hampshire,11,12,9,0
2022,10/14/2022,at Stanford,0,3,3,1
2022,10/23/2022,vs JMU,2,1,0,0
2022,10/28/2022,at UMass Lowell,2,7,6,0
2022,10/30/2022,at Vermont,8,11,8,0
2023,8/25/2023,vs MIAMI,11,6,6,0
2023,8/27/2023,vs Maryland,5,4,3,0
2023,8/28/2023,vs Rutgers,8,6,5,0
2023,9/1/2023,vs Penn State,7,12,9,1
2023,9/8/2023,at LIU,11,6,4,1
2023,9/9/2023,at Stonehill,9,23,14,1
2023,9/22/2023,at UAlbany,2,7,6,0
2023,9/24/2023,at Vermont,1,6,3,0
2023,9/29/2023,vs Stanford,8,15,10,1
2023,10/1/2023,at Stanford,7,10,7,0
2023,10/6/2023,at UMass Lowell,7,11,10,0
2023,10/8/2023,at Bryant,7,15,7,1
2023,10/14/2023,at UC Davis,4,9,5,1
2023,10/21/2023,vs UC Davis,11,21,14,1
2023,10/27/2023,at New Hampshire,5,4,1,1
2023,10/29/2023,at Maine,7,12,8,1
2023,11/2/2023,vs Vermont,5,3,2,1
2023,11/3/2023,at UMass Lowell,4,11,8,1
2023,11/5/2023,at UAlbany,4,6,3,1
2023,11/8/2023,vs Miami (OH),6,8,8,0
2024,9/1/2024,vs MSU,12,9,7,1
2024,9/5/2024,vs NU,8,8,5,1
2024,9/6/2024,vs Kent State,3,5,2,1
2024,9/15/2024,vs UC Davis,3,10,8,1
2024,9/20/2024,at Virginia,7,6,3,0
2024,9/22/2024,at James Madison,6,13,10,1
2024,9/29/2024,at UC Davis,5,8,4,1
2024,10/4/2024,vs Duke University,4,2,2,0
2024,10/6/2024,vs UNC,5,4,3,0
2024,10/11/2024,at Boston College,1,5,5,0
2024,10/13/2024,at Syracuse,9,4,3,0
2024,10/18/2024,at Indiana,2,8,8,0
2024,10/20/2024,at Iowa,3,10,9,0
2024,10/25/2024,vs Louisville,6,9,7,1
2024,10/27/2024,vs Wake Forest,9,4,2,0
2024,10/31/2024,at STANFORD,7,11,10,0
2024,11/5/2024,at North Carolina,3,1,1,0
2025,8/29/2025,at Monmouth University,6,8,6,0
2025,8/31/2025,at Delaware,5,9,3,1
2025,9/5/2025,vs Harvard,1,3,2,0
2025,9/7/2025,vs Ball St.,3,8,3,1
2025,9/14/2025,vs Ohio,5,13,4,1
2025,9/19/2025,at North Carolina,6,4,3,0
2025,9/21/2025,at Duke,2,0,0,0
2025,9/26/2025,vs Virginia,2,3,0,0
2025,9/28/2025,vs UC Davis,5,8,4,1
2025,10/10/2025,vs Boston College,6,5,4,1
2025,10/12/2025,vs Syracuse,4,4,3,1
2025,10/17/2025,at Louisville,2,1,0,0
2025,10/19/2025,at Wake Forest,5,6,4,0
2025,10/24/2025,at UC Davis,7,3,1,1
